Type,Status ,Live URL ,Index Status 
Classical Education,Live ,https://opened.co/blog/classical-education ,Indexed 
Virtual School (Hub & Spoke),Live ,https://opened.co/open-education/virtual-school,Indexed 
Montessori (Hub & Spoke),Live ,https://opened.co/open-education/montessori,Indexed 
Montessori Curriculum,Live ,https://opened.co/blog/montessori-curriculum-for-homeschooling,Indexed 
Microschool (Hub & Spoke),Live ,https://opened.co/open-education/microschool,Indexed 
Reimbursement Guide ,Hold,HOLD,
How to Homeschool ,Pending ,TBD,
Math Curriculum,Live ,https://opened.co/blog/best-homeschool-math-curriculum,Requested Indexing 
Science Curriculum,Live ,TBD,
Best Curriculum,Pending ,TBD,
ADHD,Live ,https://opened.co/blog/homeschooling-a-child-with-adhd,Requested Indexing 
Classical (Hub & Spoke),Live ,opened.co/open-education/classical-education,Indexed 
Charlotte Mason (Hub & Spoke),Live ,opened.co/open-education/charlotte-mason,
Nature / Forest School (Hub & Spoke),Live ,opened.co/open-education/nature-forest-schooling,
Adaptive / AI Learning (Hub & Spoke),Live ,opened.co/open-education/adaptive-ai-learning,
kindergarten homeschool curriculum,Pending ,https://opened.co/blog/best-kindergarten-homeschool-curriculum,
homeschool art curriculum,Pending ,https://opened.co/blog/best-homeschool-art-curriculum,
preschool homeschool curriculum,Pending ,https://opened.co/blog/preschool-homeschool-curriculum,
1st grade homeschool curriculum,Pending ,https://opened.co/blog/1st-grade-homeschool-curriculum,
language arts homeschool curriculum,Pending ,https://opened.co/blog/language-arts-homeschool-curriculum,
,,,
December Topic Recs ,,Sample URL ,
high school homeschool curriculum,Pending ,https://opened.co/blog/high-school-homeschool-curriculum,
7th grade homeschool curriculum,Pending ,https://opened.co/blog/7th-grade-homeschool-curriculum,
homeschool vs public school ,Pending ,https://opened.co/blog/homeschool-vs-public-school,
how to homeschool in oregon ,Pending ,https://opened.co/blog/how-to-homeschool-oregon,"co-ops, communities, 3rd party vendors, funding opps"
how to homeschool in indiana ,Pending ,https://opened.co/blog/how-to-homeschool-indiana,
,,,
,,,
,,,
ON HOLD ,,,
how to homeschool in iowa ,150,https://opened.co/blog/how-to-homeschool-iowa,
how to homeschool in indiana ,100,https://opened.co/blog/how-to-homeschool-indiana,
homeschool laws by state,900,https://opened.co/blog/homeschool-laws-by-state,
"-funding section, support section w/ openEd",,,
-laws/requirements comparison table homeschooling vs openEd ,,,
2nd grade homeschool curriculum,300,https://opened.co/blog/2nd-grade-homeschool-curriculum,
6th grade homeschool curriculum,350,https://opened.co/blog/6th-grade-homeschool-curriculum,