Classical Education					Type 	Keywords	Search Volume		Indiana														
URL	https://opened.co/blog/classical-education TBD	lower-case			Primary 	classical education	4100		Kansas														
Meta Title	Classical Education: Understanding the Model and Approach	Title Case	(60 characters max)		Secondary	what is classical education	1100		Oregon														
Headline (H1)	Classical Education: Understanding the Model and Approach	Title Case	20 - 100 characters (can get creative with H1)		Secondary	classical education curriculum	500		Arkansas														
Notes	Article should contain the following sections:  <h1> Classical Education: Understanding the Model and Approach <h2> What is Classical Education? <h2> Classical Education Model <h2> Classical Education vs Modern Education <h2> Classical Education and Homeschooling <h2> Classical Education Curriculum <h2> [OpenEd CTA]   Include additional sections/visual throughout to further explain the education type, include expertise/quotes, link to relevant Podcasts, promote Open Education model and OpenEd, etc.   Rec word count: 1500-2000				Secondary	classical education model	500		Montana 														
					Tertiary 	classical education vs modern education 	200		Minnesota														
					Tertiary 	classical education homeschool 	150																
																							
																							
Virtual School					Type 	Keywords	Search Volume																
URL	https://opened.co/open-education/virtual-school	lower-case			Primary 	virtual school	4000																
Meta Title	Virtual School: K-12 Solutions for Students | OpenEd	Title Case	(60 characters max)		Secondary	virtual high school	2000																
Headline (H1)	Virtual School: K-12 Solutions for Students 	Title Case	20 - 100 characters (can get creative with H1)		Secondary	virtual public school	200																
Notes	Article should contain the following sections:  <h2> What is Virtual School? <h2> Virtual Public School <h2> K-12 Virtual School  <h2> Considerations for Virtual High School  <h2> Virtual Schools by State <h3> [State] Virtual School  <h2> [OpenEd CTA]   Include additional sections/visual throughout to further explain the education type, include expertise/quotes, link to relevant Podcasts, promote Open Education model and OpenEd, etc.  Note: Since Google is offering localized results for the term 'virtual school' I recommend state pages built such as opened.co/virtual-school/oregon   Rec word count: 1500-2000				Secondary	k-12 virtual school	200																
					Secondary	what is virtual school	100																
					Tertiary 	indiana virtual school	150																
	under homeschool variation hub? 				Tertiary 	kansas virtual school	40																
					Tertiary 	oregon virtual school	40																
					Tertiary 	arkansas virtual school	60																
					Tertiary 	montana virtual school	10																
					Tertiary 	minnesota virtual school	100																
																							
																							
Montessori					Type 	Keywords	Search Volume																
URL	https://opened.co/open-education/montessori	lower-case			Primary 	montessori	63000		Intent to find physical locations, going down to city-level. Option for curriculum and 'homeschool' variations 														
Meta Title	Montessori Education and Open Education | OpenEd	Title Case	(60 characters max)		Secondary	montessori schools 	26000																
Headline (H1)	Montessori Education with OpenEd 	Title Case	20 - 100 characters (can get creative with H1)		Secondary	what is montessori	4500																
Notes	Article should contain the following sections:  <h2> Defining Montessori Education Method <h2> Benefits of Montessori <h2> Montessori with OpenEd  <h2> Montessori Education for Elementary School  <h2> Montessori Education for Middle School <h2> Montessori Education for High School  <h2> Montessori Curriculum  <h2> [OpenEd CTA]   Include additional sections/visual throughout to further explain the education type, include expertise/quotes, link to relevant Podcasts, promote Open Education model and OpenEd, etc.  Rec word count: ~1500				Secondary	montessori method	4100																
					Secondary	montessori education	2300																
					Tertiary 	benefits of montessori education	450																
	montessori co-ops 				Tertiary 	montesorri high school	400																
																							
																							
Montessori Curriculum					Type 	Keywords	Search Volume														Type 	Keywords	Search Volume
URL	https://opened.co/blog/montessori-curriculum	lower-case			Primary 	montessori curriculum	1300	https://montessoriforhomeschoolers.com/													Primary 	montessori	63000
Meta Title	Best Montessori Curriculum for Homeschooling | OpenEd	Title Case	(60 characters max)		Secondary	montessori homeschool curriculum	1100														Secondary	montessori schools 	26000
Headline (H1)	Montessori Curriculum for Homeschooling 	Title Case	20 - 100 characters (can get creative with H1)		Secondary	montessori teaching 	600														Secondary	what is montessori	4500
Notes	Article should contain the following sections:  <h2> Defining Montessori Education <h2> Montessori Curriculum  <h2> Montessori Homeschool Curriculum <h2> Elementary School Montessori Homeschool Curriculum  <h2> Middle School Montessori Homeschool Curriculum <h2> High School Montessori Homeschool Curriculum <h2> Montesorri Curriculum by Subject [include relevant h3s for each subject] <h2> [OpenEd CTA]   Include additional sections/visual throughout to further explain the education type, include expertise/quotes, link to relevant Podcasts, promote Open Education model and OpenEd, etc.  Rec word count: ~1500				Secondary	montessori math	500														Secondary	montessori method	4100
					Secondary	benefits of montessori education	450														Secondary	montessori education	2300
																							
																							
																							
																							
Microschool					Type 	Keywords	Search Volume																
URL	https://opened.co/open-education/microschool	lower-case			Primary 	microschool	1000		Informational intent with minimal focus at state/city level, option for localization of national terms 														
Meta Title	Microschool with Open Education | OpenEd 	Title Case	(60 characters max)		Secondary	microschool near me	600																
Headline (H1)	Microschooling with OpenEd 	Title Case	20 - 100 characters (can get creative with H1)		Secondary	what is a microschool	400																
Notes	Article should contain the following sections:  <h2> Defining Microschools <h2> Benefits of Microschools   <h2> How to Join a Microschool <h2> How to Start a Microschool <h2> Online Microcshools <h2> Microschool Curriculum Ideas <h2> Microschools Near You [add relevant <h3> sections for state/city based microschools] <h2> [OpenEd CTA]   Include additional sections/visual throughout to further explain the education type, include expertise/quotes, link to relevant Podcasts, promote Open Education model and OpenEd, etc.  Rec word count: ~1500				Secondary	how to start a microschool	150																
					Secondary	mircroschool grants	90																
					Tertiary 	online microschool 	50																
					Tertiary 	microschool curriculum	40																
					Tertiary 	microschool tuition	30																
					Tertiary 	indiana microschool	0-10	state															
					Tertiary 	microschool kansas city	0-10	city 															