Kindergarten Homeschool Curriculum					Type 	Keywords	Search Volume
URL	opened.co/blog/high-school-homeschool-curriculum	lower-case			Primary 	high school homeschool curriculum 	1000
Meta Title	High School Homeschool Curriculum | OpenEd	Title Case	(60 characters max)		Secondary	best homeschool curriculum for high school 	300
Headline (H1)	High School Homeschool Curriculum 	Title Case	20 - 100 characters (can get creative with H1)		Secondary	high school art homeschool curriculum 	100
Notes	Article should contain the following sections:   Provide brief intro, ~100 words, speaking to parents  <h2> High School Math Homeschool Curriculum  <h2> High School English & Literature Homeschool Curriculum  <h2> High School Science Homeschool Curriculum (with Labs)  <h2> High School Art Homeschool Curriculum  <h2> High School Electives & Career-Focused Courses  <h2> High School Homeschooling Tips  <h2> High School Homeschool Curriculum FAQs  Condense OR Include additional <h2> for core subjects/types of high school homeschool curriculum. Add <h3> sections and links to podcasts throughout to further explain and answer common questions. This article has a basic SEO structure and should be expanded to speak sensitively to parents and include relevant examples.  Rec word count: ~750-1000   				Secondary	high school science homeschool curriculum 	80
							
							
homeschool vs public school					Type 	Keywords	Search Volume
URL	opened.co/blog/homeschool-vs-public-school	lower-case			Primary 	homeschool vs public school	600
Meta Title	Homeschool vs Public School | OpenEd 	Title Case	(60 characters max)		Secondary	homeschool vs public school statistics 	250
Headline (H1)	Homeschool vs Public School	Title Case	20 - 100 characters (can get creative with H1)		Secondary	homeschool vs public school outcomes 	90
Notes	Article should contain the following sections:   Provide brief intro, ~100 words, speaking to parents  <h2> Homeschool vs Public School: Whatâ€™s the Difference?  <h2> Benefits of Homeschool vs Public School  <h2> Homeschool vs Public School Statistics  <h2> Homeschool vs Public School Outcomes  <h2> Choosing Between Homeschool and Public School <h2> FAQs for Parents   Add <h3> sections and links to podcasts throughout to further explain and answer common questions. This article has a basic SEO structure and should be expanded to speak sensitively to parents and include relevant examples.  Rec word count: 1000 - 1500  				Secondary	benefits homeschool vs public school	50
							
							
7th Grade Homeschool Curriculum					Type 	Keywords	Search Volume
URL	opened.co/blog/7th-grade-homeschool-curriculum	lower-case			Primary 	7th grade homeschool curriculum	450
Meta Title	7th Grade Homeschool Curriculum | OpenEd	Title Case	(60 characters max)		Secondary	7th grade math homeschool curriculum	50
Headline (H1)	7th Grade Homeschool Curriculum 	Title Case	20 - 100 characters (can get creative with H1)		Secondary	7th grade science homeschool curriculum	50
Notes	Article should contain the following sections:   Provide brief intro, ~100 words, speaking to parents  <h2> 7th Grade Math Homeschool Curriculum  <h2> 7th Grade English & Language Arts Homeschool Curriculum  <h2> 7th Grade Reading & Literature Homeschool Curriculum  <h2> 7th Grade Science Homeschool Curriculum  <h2> 7th Grade Social Studies Homeschool Curriculum  <h2> 7th Grade Homeschooling Tips for Parents  <h2> 7th Grade Homeschool Curriculum FAQs  Include additional <h2> for core subjects/types of 7th grade homeschool curriculum. Add <h3> sections and links to podcasts throughout to further explain and answer common questions. This article has a basic SEO structure and should be expanded to speak sensitively to parents and include relevant examples.  Rec word count: ~750-1000  				Secondary	7th grade language arts homeschool curriculum	50
							
							
How to Homeschool in [State]					Type 	Keywords	Search Volume
URL	opened.co/blog/how-to-homeschool-[state]	lower-case			Primary 	N/A	
Meta Title	How to Homeschool in [State] | OpenEd 	Title Case	(60 characters max)		Secondary	N/A	
Headline (H1)	How to Homeschool in [State]	Title Case	20 - 100 characters (can get creative with H1)		Secondary	N/A	
Notes	Article should contain the following sections:   Provide brief intro, ~100 words, speaking to parents  <h2> How to Start Homeschooling in [State] (Step-by-Step) <h2> Legal Considerations to Homeschooling in [State]?  <h2> How to Register or File Homeschool Paperwork in [State]  <h2> How Much Does It Cost to Homeschool in [State]?  <h2> Can You Get Funding or Paid to Homeschool in [State]?  <h2> Homeschooling Coops and Communities in [State] <h2> FAQs About Homeschooling in [State]  Add <h3> sections and links to podcasts throughout to further explain and answer common questions. This article has a basic SEO structure and should be expanded to speak sensitively to parents and include relevant examples.  Rec word count: 1000 - 1500  				Secondary	N/A	