ADHD					Type 	Keywords	Search Volume
URL	opened.co/blog/adhd-homeschooling	lower-case			Primary 	adhd homeschooling	100
Meta Title	Homeschooling a Child with ADHD | OpenEd 	Title Case	(60 characters max)		Secondary	homeschooling a child with adhd 	100
Headline (H1)	Homeschooling a Child with ADHD 	Title Case	20 - 100 characters (can get creative with H1)		Secondary	adhd homeschool curriculum	100
Notes	Article should contain the following sections:   <h2> ADHD and Homeschooling <h2> Tips for Parents <h2> ADHD Homeschool Curriculum   Include additional <h3> sections and links to podcasts throughout to further explain and answer common questions about ADHD and homeschooling. This article has a basic SEO structure and should be expanded to speak sensitively to parents and include relevant examples.  Rec word count: 1000 - 1500  						
							
							
							
Classical					Type 	Keywords	Search Volume
URL	opened.co/open-education/classical-education	lower-case			Primary 	classical education	4100
Meta Title	Classical Education and OpenEd | OpenEd 	Title Case	(60 characters max)		Secondary	what is classical education	1100
Headline (H1)	Classical Education and OpenEd 	Title Case	20 - 100 characters (can get creative with H1)		Secondary		
Notes	Article should contain the following sections:  <h2> Understanding Classical Education <h2> Classical Education and Open Education <h2> Finding Classical Education through OpenEd  Since we already have a detailed article about Classical Education, this article can be more OpenEd-promotional. Include additional sections/visual throughout to further explain and answer common questions.  Include FAQ section. Rec word count: 500-1000  						
							
							
							
Charlotte Mason					Type 	Keywords	Search Volume
URL	opened.co/open-education/charlotte-mason	lower-case			Primary 	charlotte mason homeschool	2000
Meta Title	Charlotte Mason and OpenEd | OpenEd 	Title Case	(60 characters max)		Secondary	what is charlotte mason homeschool 	150
Headline (H1)	Charlotte Mason and OpenEd 	Title Case	20 - 100 characters (can get creative with H1)		Secondary	charlotte mason homeschool method	100
Notes	Article should contain the following sections:  <h2> Understanding Charlotte Mason Homeschool Method  <h2> Charlotte Mason Homeschool and Open Education <h2> Finding Charlotte Mason through OpenEd  Include additional sections/visual throughout to further explain and answer common questions about charlotte mason.  Include FAQ section.  Rec word count: 500-1000  						
							
							
							
Wild+Free / Nature / Forest School					Type 	Keywords	Search Volume
URL	opened.co/open-education/nature-forest-schooling	lower-case			Primary 	Nature schooling	150
Meta Title	Nature and Forest Schooling with OpenEd | OpenEd	Title Case	(60 characters max)		Secondary	Nature homeschool	150
Headline (H1)	Nature and Forest Schooling with OpenEd 	Title Case	20 - 100 characters (can get creative with H1)		Secondary	forest schooling 	10
Notes	Article should contain the following sections:  <h2> Understanding Nature Schooling <h2> Understanding Forest Schooling <h2> Nature + Forest Schooling and Open Education <h2> Finding Nature Schooling through OpenEd   Include additional sections/visual throughout to further explain and answer common questions.  Include FAQ section.  Rec word count: 500-1000  						
							
							
							
Adaptive / AI learning apps					Type 	Keywords	Search Volume
URL	opened.co/open-education/adaptive-ai-learning	lower-case			Primary 	Ai homeschooling	30
Meta Title	Adaptive + AI Learning and OpenEd | OpenEd	Title Case	(60 characters max)		Secondary	adaptive learning 	2700
Headline (H1)	Adaptive + AI Learning and OpenEd 	Title Case	20 - 100 characters (can get creative with H1)		Secondary	Ai for homeschooling	20
Notes	Article should contain the following sections:  <h2> Understanding Adaptive Schooling <h2> Understanding AI  Homeschooling <h2> AI + Adaptive Schooling and Open Education <h2> Finding AI + Adaptive through OpenEd   Include additional sections/visual throughout to further explain and answer common questions. Include FAQ section.  Rec word count: 500-1000  						