Title,Author/Partner,Notes,Past Podcast Guest?,Email,Keywords,URL,Priority,Status
Kansas Homeschool,,,No,,,,,Not Started
Classical Education Made Simple,Great Hearts,,No,,,,,Not Started
Wild + Free / Outdoor Ed,Ainsley Arment,,No,,,,,Not Started
Specific Educational Philosophies,,,No,,,,,Not Started
"""Microschools: A Beginner's Guide from Founders and Families""
• ","Kelly Smith, Kerry McDonald",Deep reach to microschool founders across all states,No,,,,,Not Started
Acton Academy,,,No,,,,,Not Started
Why does your kid hate school?,Cassie Shepherd,she saw the lights go out of her two daughters. Very compelling story,No,,,,,Not Started
"""Utah Educational Funding: How to Access Resources for Your Family""",Corrin - Utah Parents United,Parent advocacy group in Utah with a large list / lots of homeschoolers,No,,,,,Not Started
Complete guide to Homeschool in <>,,,No,,,,,Not Started
"""The Complete Guide to Homeschooling in Oregon: Laws, Funding, and Community""",Brettani Shannon,Options 4 Education,No,,,,,Not Started
Complete guide: Utah,Sandy Grant,,No,,,,,Not Started
Indiana,,,No,,,,,Not Started
Utah Microschools,Peggy Lowe,Apogee,No,,,,,Not Started
"""Daily Homeschool Schedules That Actually Work: 10 Real Families Share”",,Assorted moms from OpenEd podcast,No,,,,,Not Started
"""Homeschool Room Setup: Inspiring Spaces from Real Families""",,,No,,,,,Not Started
"""Is Homeschooling Legal? A State-by-State Guide from Legal Experts""",Andrew Campanella,,No,,,,,Not Started
"""The Socialization Question: How Homeschooled Kids Really Turn Out""",Hannah Frankman,,No,,,,,Not Started
"""From Failing in School to Thriving at Home: Transformation Stories""",,,No,,,,,Not Started
"""The Working Parent's Guide to Homeschooling (Without Quitting Your Job"")",,Already have a post similar to this - but could revamp,No,,,,,Not Started
"Curriculum Guides by Subject ",,,No,,,,,Not Started
ADHD,,Andrea knows someone who is big in this space,No,,,,,Not Started
Science Curricula,Claire Honeycutt,Neuroscience academic turned,No,,,,,Not Started