Title,Text,Checkbox,Status
School is bad at your kid,Your kid isn't 'bad at school' — school is bad at your kid.,No,Not started
"Light fires, not fill minds",Schools fill minds. Open education lights fires.,No,Not started
Two-question reset,"The two‑question reset for stuck educational journeys:

1. What's not working right now?",Yes,Not started
Age segregation meme,When in the real world do you only interact with people your age? Nowhere — except school.,Yes,Not started
Obedience and outcomes,The same obedience that earns good grades often earns mediocre lives.,No,Not started
Environment > everything,Stop trying to teach your child everything. Build an environment where they can learn anything.,Yes,Not started
"Different ages, same algebra?","We accept that kids walk, read, and talk at different ages — but expect them to learn algebra on the exact same day?",Yes,Not started
One-size-fits-all symptoms,"Signs the one-size-fits-all classroom is failing your child:

- Bored when others are struggling",No,Not started
Four walls don't make a classroom,Four walls don't make a classroom. Curiosity does.,Yes,Not started
From TO to FOR,"Problem: Most children feel education is something done TO them, not FOR them. Solution: Ask these 3 questions:",Yes,Not started
See who they are,"The most powerful educational tool isn't a curriculum, but a parent who says: ""I see who you really are, and I'll help you become that.""",Yes,Not started
Educational Architect,"The new role every parent needs to embrace: Educational Architect. Design environments where learning happens naturally through mixed formats, real‑world projects, and self‑directed exploration.",No,Not started
Let them build,"Imagine a generation who never had to suppress their curiosity to fit into a system... who enter adulthood not asking ""What should I do with my life?"" but saying ""Let me show you what I've been building.""",No,Not started
Prepare for the unknown world,"Prepare for the unknown world
Checkbox: Yes",Yes,Not started
"Truth About Kids who ‘Hate School’ ","- The uncomfortable truth about kids who ""hate school"":

Many of history's most successful innovators struggled in traditional classrooms—Einstein, Branson, Jobs.",Yes,Not started
Education isn’t either/or,- Education isn't an either/or choice. The most successful families aren't picking sides—they're picking what works.,Yes,Not started
Underrated skill in education,"The most underrated skill in education:
The ability to go deep on what fascinates you.",Yes,Not started
"Obsession = advantage ","Your child's obsession isn't the problem.
It's their competitive advantage.",Yes,Not started
"Future prediction ","Prediction:

The next generation of innovators won't come from:",Yes,Not started
"The Most Valuable Learning ","The most valuable learning rarely shows up in a lesson plan.

It shows up in the questions that won't go away.",Yes,Not started
"Measuring Education ","Stop measuring education in classroom hours.

Start measuring it in:",Yes,Not started
More time in the real world,"The problem isn't that teens aren't spending enough time in classrooms.

The problem is they're spending too little time in the real world.",Yes,Not started
"If Your Kid ‘Hates Math’ ","To the parent whose child ""hates math"":

They don't hate math.",Yes,Not started
Keeping up = falling behind,"When you're forced to keep up,
You're more likely to fall behind forever.",Yes,Not started