Status,Name,Publish Date,Record Date,🔮 Master Content Database,Thumbnail,YouTube Link,Spotify Link
Scheduled,Bria Bloom,,"January 22, 2026",,,,
Scheduled,Joshua Fields Millburn,,"January 16, 2026",,,,
Recorded,Heather Malin,,"December 10, 2025",Heather Malin Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Heather%20Malin%20Podcast%20YouTube%20Blog%202c6afe52ef598005a6a7e718838a4683.md),,,
Scheduled,Dr. Laura Froyen,,"January 15, 2026",,,,
Scheduled,Gretchen Roe,,,,,,
Scheduled,Claire Honeycutt,,"January 23, 2026",,,,
Recorded,Janssen Bradshaw,,"December 11, 2025",Janssen Bradshaw Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Janssen%20Bradshaw%20Podcast%20YouTube%20Blog%202c6afe52ef5980eb9dbfc0e27459e6dc.md),,,
Scheduled,Amar Kumar,,"January 16, 2026",,,,
Scheduled,Jon England,,"March 11, 2026",,,,
Scheduled,"Amy (@organicallyamy) ",,,,,,
Recorded,Krisy Shaughnessy,,"December 12, 2025",Krisy Shaughnessy Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Krisy%20Shaughnessy%20Podcast%20YouTube%20Blog%202d1afe52ef598022b3dbef895d662227.md),,,
Scheduled,Sandra Zamalis,,"December 30, 2025","Sandra Zamalis Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Sandra%20Zamalis%20Podcast%20YouTube%20Blog%202bfafe52ef5980f88c9df2ba62a839fe.md), OED - Sandra Zamalis Podcast (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/OED%20-%20Sandra%20Zamalis%20Podcast%202bfafe52ef5980b5a586c9c4c55172ee.md)",,,