Status,Name,Notes/Contributors,Post Date,Type,Download
Staging,Blog post: Amir Nathoo,,,Podcast,
Posted,Amir Nathoo,,05/01/2025,Daily,
Staging,"OUTSCHOOL Clip 1: ""Not All Screen Time Is Created Equal"" (As previously compiled - this works well)","Not all screen time is created equal. Building virtual worlds is completely different from passive watching - it's where kids can safely practice real-world skills they naturally want to learn.

The difference is visible: a child after watching YouTube has a different look than one who comes away from creative classes brimming with excitement and ideas.

#screentime #parenting #digitallearning #virtualworlds #kidseducation #creativity
",,Short Clip,https://share.descript.com/view/H5Y4cMpZy1B
Staging,"Clip 2: ""The Box Is Now Open"" (Stronger hook from education freedom section)",,,Short Clip,https://share.descript.com/view/oLSQX6r392I
Staging,"Clip 3: ""We Blame Our Kids For Our Issues"" (Provocative hook on technology and generations)",,,Short Clip,https://share.descript.com/view/AWSgEBlJtG7
Rejected,"Clip 1: ""What Minecraft Taught Me About Modern Education""",,,Short Clip,https://share.descript.com/view/PS295dxgUGA
Rejected,"Clip 2: ""Why Your Child Needs Multiple Learning Networks""",,,,https://share.descript.com/view/EWoS1x5kmOQ
Staging,"Clip 3: ""When Your Child's Interests Go Beyond Your Knowledge""",,,Short Clip,https://share.descript.com/view/aQpidN3exJM
Rejected,"Clip 4: ""Teachers Unleashed""",,,,https://share.descript.com/view/xJe5yKWahz0
Rejected,"Clip 5: ""The Expert is Just a Click Away""",,,,https://share.descript.com/view/qyWimTNjTV0
Staging,10 Weird Outschool Offerings: TWEET THREAD / TOOL,,,"Carousel, Deep Dive, Thread, Tool",
Staging,Instagram/Facebook Carousel for OutSchool,,,Carousel,